case,grid,final_iter,final_rms_p,final_rms_nu,final_cl,final_cd,log_path,cl_delta_last_200,cd_delta_last_200,cd_pct_delta_last_200,cl_delta_last_500,cd_delta_last_500,cd_pct_delta_last_500,cl_delta_last_1000,cd_delta_last_1000,cd_pct_delta_last_1000
alpha0_coarse,449x129,7999,-9.111585,-8.839794,-3e-06,0.008188,.\05_cfd_cases\mesh_sensitivity\alpha0_449x129\su2_alpha0_449x129_run.log,0.0,-2.999999999999531e-06,-0.03663898387884136,0.0,-8.999999999998592e-06,-0.10991695163652408,0.0,-1.799999999999892e-05,-0.21983390327306934
alpha0_fine,897x257,1999,-9.546991,-9.503154,-3e-06,0.008448,.\05_cfd_cases\su2_naca0012_baseline\02_alpha0_restart_clean_exit\su2_alpha0_restart_run.log,0.0,-3.999999999998796e-06,-0.047348484848470596,0.0,-9.999999999999593e-06,-0.11837121212120728,0.0,-2.1000000000000185e-05,-0.24857954545454763
