alpha_deg,coefficient,reference_source,su2_value,reference_value,difference,percent_difference,notes
13.08,Cd,Fluent,0.016888,0.01636,0.000528,3.22738,Existing local manuscript dataset
13.08,Cd,TAU,0.016888,0.01702,-0.000132,-0.775558,Existing local manuscript dataset
13.08,Cl,Exp,1.380482,1.3455,0.034982,2.59993,Existing local manuscript dataset
13.08,Cl,Fluent,1.380482,1.3497,0.030782,2.28065,Existing local manuscript dataset
13.08,Cl,TAU,1.380482,1.3402,0.040282,3.00567,Existing local manuscript dataset
14.22,Cd,Exp,0.019081,0.01625,0.002831,17.4215,Existing local manuscript dataset
14.22,Cd,Fluent,0.019081,0.01813,0.000951,5.24545,Existing local manuscript dataset
14.22,Cd,TAU,0.019081,0.01868,0.000401,2.14668,Existing local manuscript dataset
14.22,Cl,Exp,1.480227,1.4365,0.043727,3.044,Existing local manuscript dataset
14.22,Cl,Fluent,1.480227,1.4313,0.048927,3.41836,Existing local manuscript dataset
14.22,Cl,TAU,1.480227,1.442,0.038227,2.65097,Existing local manuscript dataset
